function,method,n,eval_count,mean_estimate,std_estimate,exact,mean_abs_error,rel_error,accept_rate,lag1_autocorr,ess_lag1,repeat
step,monte_carlo,10,10,0.5366666666666667,0.14015590662158886,0.5,0.036666666666666736,0.07333333333333347,,,,30.0
step,monte_carlo,50,50,0.5046666666666667,0.06489956874270049,0.5,0.004666666666666708,0.009333333333333416,,,,30.0
step,monte_carlo,100,100,0.5013333333333333,0.04967017653261974,0.5,0.0013333333333332975,0.002666666666666595,,,,30.0
step,monte_carlo,500,500,0.49820000000000003,0.018452922392607263,0.5,0.0017999999999999683,0.0035999999999999366,,,,30.0
step,monte_carlo,1000,1000,0.4963999999999999,0.014843087326405869,0.5,0.003600000000000103,0.007200000000000206,,,,30.0
step,monte_carlo,5000,5000,0.49900000000000005,0.007319506295768392,0.5,0.0009999999999999454,0.0019999999999998908,,,,30.0
step,monte_carlo,10000,10000,0.5001766666666667,0.005533015847421381,0.5,0.00017666666666671382,0.00035333333333342765,,,,30.0
step,monte_carlo,50000,50000,0.5000566666666667,0.002456569423674681,0.5,5.6666666666704835e-05,0.00011333333333340967,,,,30.0
step,monte_carlo,100000,100000,0.49958699999999995,0.0022383694034289535,0.5,0.0004130000000000522,0.0008260000000001044,,,,30.0
step,quasi_mc,10,10,0.5,,0.5,0.0,0.0,,,,
step,quasi_mc,50,50,0.5,,0.5,0.0,0.0,,,,
step,quasi_mc,100,100,0.5,,0.5,0.0,0.0,,,,
step,quasi_mc,500,500,0.5,,0.5,0.0,0.0,,,,
step,quasi_mc,1000,1000,0.5,,0.5,0.0,0.0,,,,
step,quasi_mc,5000,5000,0.5,,0.5,0.0,0.0,,,,
step,quasi_mc,10000,10000,0.5,,0.5,0.0,0.0,,,,
step,quasi_mc,50000,50000,0.5,,0.5,0.0,0.0,,,,
step,quasi_mc,100000,100000,0.5,,0.5,0.0,0.0,,,,
step,mcmc,10,10,0.47333333333333333,0.3850063441782112,0.5,0.026666666666666672,0.053333333333333344,0.840957095709571,0.1879084717408094,7.311491132906811,30.0
step,mcmc,50,50,0.4533333333333334,0.1803699901129158,0.5,0.04666666666666658,0.09333333333333316,0.8415238095238097,0.6554385288261978,10.857703233733188,30.0
step,mcmc,100,100,0.4643333333333334,0.1414623949868031,0.5,0.035666666666666624,0.07133333333333325,0.8416363636363636,0.6595229233107129,21.147973413506428,30.0
step,mcmc,500,500,0.5168,0.07693364807999523,0.5,0.016800000000000037,0.033600000000000074,0.8412,0.678951826637357,95.99518507393512,30.0
step,mcmc,1000,1000,0.5021333333333334,0.049352869694947184,0.5,0.0021333333333334314,0.004266666666666863,0.8408333333333332,0.6827124913734004,188.788849302798,30.0
step,mcmc,5000,5000,0.4943466666666667,0.021071237682472852,0.5,0.005653333333333288,0.011306666666666576,0.8410222222222222,0.6828253605638366,942.6442534913788,30.0
step,mcmc,10000,10000,0.49859,0.01718249610544967,0.5,0.0014100000000000223,0.0028200000000000447,0.840730303030303,0.6827043984092411,1886.0226452614145,30.0
step,mcmc,50000,50000,0.49983333333333335,0.0074288669639330585,0.5,0.0001666666666666483,0.0003333333333332966,0.8404738562091504,0.683056486126828,9416.122126310398,30.0
step,mcmc,100000,100000,0.49942900000000007,0.004594442182193313,0.5,0.0005709999999999327,0.0011419999999998653,0.840325412541254,0.6834651680432416,18802.92037309432,30.0
